result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
"Replication Data for: ""Technological Change and Political Turnover: The Democratizing Effects of the Green Revolution in India""",doi:10.7910/DVN/PSGCJH,"Dasgupta, Aditya",American Political Science Review Dataverse,Technological Change and Political Turnover: The Democratizing Effects of the Green Revolution in India,10.1017/s000305541800031x,0.00634920634920633
Replication Data for: Policy Uptake as Political Behavior: Evidence from the Affordable Care Act ,doi:10.7910/DVN/INVDWM,"c(""Lerman, Amy E."", ""Sadin, Meredith"", ""Trachtman, Samuel"")",American Political Science Review Dataverse,Policy Uptake as Political Behavior: Evidence from the Affordable Care Act,10.1017/s0003055417000272,0
"Replication Data for: ""Education and Anti-Immigration Attitudes: Evidence from Compulsory Schooling Reforms across Western Europe""",doi:10.7910/DVN/YDSRWF,"c(""Cavaille, Charlotte"", ""Marshall, John"")",American Political Science Review Dataverse,Education and Anti-Immigration Attitudes: Evidence from Compulsory Schooling Reforms across Western Europe,10.1017/s0003055418000588,0.00617283950617287
Replication Data for: Fundraising for Stigmatized Groups: A Text Message Donation Experiment,doi:10.7910/DVN/2XO7HR,"c(""Linos, Katerina"", ""Jakli, Laura"", ""Carlson, Melissa"")",American Political Science Review Dataverse,Fundraising for Stigmatized Groups: A Text Message Donation Experiment,10.1017/s0003055420000787,0
Replication Data for: Trickle-up Political Socialization: the Causal Effect on Turnout of Parenting a Newly Enfranchised Voter,doi:10.7910/DVN/KWPEKK,"Dahlgaard, Jens Olav",American Political Science Review Dataverse,Trickle-Up Political Socialization: The Causal Effect on Turnout of Parenting a Newly Enfranchised Voter,10.1017/s0003055418000059,0
"Replication Data for: ""Who Polices the Administrative State?""",doi:10.7910/DVN/LFQZVU,"Lowande, Kenneth",American Political Science Review Dataverse,Who Polices the Administrative State?,10.1017/s0003055418000497,0.017094017094017
Replication Data for Public Employees as Politicians: Evidence from Close Elections,doi:10.7910/DVN/V7SQRW,"Tukiainen, Janne",American Political Science Review Dataverse,Public Employees as Politicians: Evidence from Close Elections,10.1017/s0003055417000284,0.242939499935225
Replication Data for: Persistent Policy Pathways: Inferring Diffusion Networks in the American States,doi:10.7910/DVN/A1GIMB,"c(""Desmarais, Bruce A."", ""Harden, Jeffrey J."", ""Boehmke, Frederick J."")",Jeffrey J. Harden Dataverse,Persistent Policy Pathways: Inferring Diffusion Networks in the American States,10.1017/s0003055415000040,0
"Replication Data for: ""Hot politics? Affective responses to political rhetoric""",doi:10.7910/DVN/LCWR7G,"c(""Bakker, Bert N."", ""Schumacher, Gijs"", ""Rooduijn, Matthijs"")",American Political Science Review Dataverse,Hot Politics? Affective Responses to Political Rhetoric,10.1017/s0003055420000519,0.0116959064327486
Quality Over Quantity: Amici Influence and Judicial Decision Making,doi:10.7910/DVN/WC8DPI,"c(""Box-Steffensmeier, Janet M."", ""Christenson, Dino P."", ""Hitt, Matthew P."")",Janet M. Box-Steffensmeier Dataverse,Quality Over Quantity: Amici Influence and Judicial Decision Making,10.1017/s000305541300021x,0
Replication Data for: Origins of Early Democracy,doi:10.7910/DVN/9OK6RH,"c(""Ahmed, Ali"", ""Stasavage, David"")",American Political Science Review Dataverse,Origins of Early Democracy,10.1017/s0003055419000741,0
Do Fairer Elections Increase the Responsiveness of Politicians?,doi:10.7910/DVN/W8HUKY,"Ofosu, George Kwaku",American Political Science Review Dataverse,Do Fairer Elections Increase the Responsiveness of Politicians?,10.1017/s0003055419000479,0
"The Electoral System, the Party System and Accountability in Parliamentary Government",doi:10.7910/DVN/5QBS9A,"Kam, Christopher",American Political Science Review Dataverse,"The Electoral System, the Party System and Accountability in Parliamentary Government",10.1017/s0003055420000143,0
Replication Data for: “Party Activists as Campaign Advertisers: The Ground Campaign as a Principal-Agent Problem,doi:10.7910/DVN/EHGCOF,"Enos, Ryan",Ground Campaign Project Dataverse,Party Activists as Campaign Advertisers: The Ground Campaign as a Principal-Agent Problem,10.1017/s0003055415000064,0.00370370370370376
Replication Data for: Political Competition in Legislative Elections,doi:10.7910/DVN/SNW8PV,"Polborn, Mattias",American Political Science Review Dataverse,Political Competition in Legislative Elections,10.1017/s0003055418000503,0
"Replication data for: The Political Economy of Unfinished Development Projects: Corruption, Clientelism, or Collective Choice?",doi:10.7910/DVN/ZUMTTN,"Williams, Martin J.",American Political Science Review Dataverse,"The Political Economy of Unfinished Development Projects: Corruption, Clientelism, or Collective Choice?",10.1017/s0003055417000351,0
Replication data for: Administrative Unit Prolifiration,doi:10.7910/DVN/26937,"c(""Grossman, Guy"", ""Lewis, Janet I."")",American Political Science Review Dataverse,Administrative Unit Proliferation,10.1017/s0003055413000567,0.0410353535353536
Replication Data for: Can Violent Protest Change Local Policy Support? Evidence from the Aftermath of the 1992 Los Angeles Riot,doi:10.7910/DVN/9B8HQN,"c(""Enos, Ryan D."", ""Kaufman, Aaron R."", ""Sands, Melissa L."")",American Political Science Review Dataverse,Can Violent Protest Change Local Policy Support? Evidence from the Aftermath of the 1992 Los Angeles Riot,10.1017/s0003055419000340,0
Replication Data for: Polarized Pluralism: Organizational Preferences and Biases in the American Pressure System,doi:10.7910/DVN/6AAGM9,"c(""Crosson, Jesse"", ""Furnas, Alexander"", ""Lorenz, Geoffrey"")",American Political Science Review Dataverse,Polarized Pluralism: Organizational Preferences and Biases in the American Pressure System,10.1017/s0003055420000350,0
Voter Registration Costs and Disenfranchisement: Experimental Evidence from France,doi:10.7910/DVN/ILZ5QL,"c(""Braconnier, C�line"", ""Dormage, Jean-Yves"", ""Pons, Vincent"")",The Abdul Latif Jameel Poverty Action Lab Dataverse,Voter Registration Costs and Disenfranchisement: Experimental Evidence from France,10.1017/s000305541700003x,0
Replication Data for: The Non-Democratic Roots of Mass Education: Evidence from 200 Years,doi:10.7910/DVN/X2VJJX,"Paglayan, Agustina",American Political Science Review Dataverse,The Non-Democratic Roots of Mass Education: Evidence from 200 Years,10.1017/s0003055420000647,0
"Replication Data for: ""Emigrant Inclusion in Home Country Elections: Theory and Evidence from sub-Saharan Africa""",doi:10.7910/DVN/SWSY7T,"Wellman, Elizabeth Iams",Harvard Dataverse,Emigrant Inclusion in Home Country Elections: Theory and Evidence from sub-Saharan Africa,10.1017/s0003055420000866,0.0073260073260073
Replication Data for Carving Out: Isolating the True Effect of  Self Interest on Policy Attitudes,doi:10.7910/DVN/RSSRRV,"Haselswerdt, Jake",American Political Science Review Dataverse,Carving Out: Isolating the True Effect of Self-Interest on Policy Attitudes,10.1017/s0003055420000465,0.225374137023622
Replication Data for: Declaring and Diagnosing Research Designs,doi:10.7910/DVN/XYT1VB,"c(""Blair, Graeme"", ""Cooper, Jasper"", ""Coppock, Alexander"", ""Humphreys, Macartan"")",American Political Science Review Dataverse,Declaring and Diagnosing Research Designs,10.1017/s0003055419000194,0
Replication Data for: Spontaneous Collective Action: Peripheral Mobilization During the Arab Spring,doi:10.7910/DVN/2IGRV9,"Steinert-Threlkeld, Zachary",American Political Science Review Dataverse,Spontaneous Collective Action: Peripheral Mobilization During the Arab Spring,10.1017/s0003055416000769,0
Replication Data for: Relational State Building in Areas of Limited Statehood: Experimental Evidence on the Attitudes of the Police,doi:10.7910/DVN/OARGFC,"Karim, Sabrina",American Political Science Review Dataverse,Relational State Building in Areas of Limited Statehood: Experimental Evidence on the Attitudes of the Police,10.1017/s0003055419000716,0
Replication data for: Perils or Promise of Ethnic Integration: Evidence from a Hard Case in Burundi,doi:10.7910/DVN/23402,Cyrus Samii,American Political Science Review Dataverse,Perils or Promise of Ethnic Integration? Evidence from a Hard Case in Burundi,10.1017/s0003055413000282,0.00865800865800881
"Replication Data for: Participation, Government Legitimacy, and Regulatory Compliance in Emerging Economies: A Firm-Level Field Experiment in Vietnam",doi:10.7910/DVN/IANHOG,"Malesky, Edmund",American Political Science Review Dataverse,"Participation, Government Legitimacy, and Regulatory Compliance in Emerging Economies: A Firm-Level Field Experiment in Vietnam",10.1017/s0003055418000849,0
Replication Data for: (Under What Conditions) Do Politicians Reward Their Supporters?  Evidence From Kenya’s Constituencies Development Fund,doi:10.7910/DVN/CFTMK2,"Harris, J. Andrew",American Political Science Review Dataverse,(Under What Conditions) Do Politicians Reward Their Supporters? Evidence from Kenya s Constituencies Development Fund,10.1017/s0003055418000709,0.0313148872470908
"Replication Data for: ""Human Rights are (Increasingly) Plural: Learning the Changing Taxonomy of Human Rights from Large-scale Text Reveals Information Effects""",doi:10.7910/DVN/CCGPUQ,"c(""Colaresi, Michael"", ""Park, Baekkwan"", ""Greene, Kevin"")",American Political Science Review Dataverse,Human Rights are (Increasingly) Plural: Learning the Changing Taxonomy of Human Rights from Large-scale Text Reveals Information Effects,10.1017/s0003055420000258,0.00483091787439616
Replication data for: Explaining Support for Combatants during Wartime: A Survey Experiment in Afghanistan,doi:10.7910/DVN/CXNXEZ,"c(""Lyall, Jason"", ""Blair, Graeme"", ""Imai, Kosuke"")",Graeme Blair Dataverse,Explaining Support for Combatants during Wartime: A Survey Experiment in Afghanistan,10.1017/s0003055413000403,0
"Replication Data for: ""Historical Ownership and Territorial Disputes""",doi:10.7910/DVN/8ZTQNM,"c(""Fang, Songying"", ""Li, Xiaojun"")",The Journal of Politics Dataverse,The Historical Origins of Territorial Disputes,10.1017/s0003055416000381,0.230623650940487
Replication Data for: Does Public Support for Judicial Power Depend on Who is in Political Power? Testing a Theory of Partisan Alignment in Africa,doi:10.7910/DVN/HDGUDZ,"c(""Kramon, Eric"", ""Bartels, Brandon L."")",American Political Science Review Dataverse,Does Public Support for Judicial Power Depend on Who is in Political Power? Testing a Theory of Partisan Alignment in Africa,10.1017/s0003055419000704,0
Replication Data for: Outside the Wire: US military Deployments and Host-Country Public Opinion,doi:10.7910/DVN/VCE7KN,"Flynn, Michael",American Political Science Review Dataverse,Outside the Wire: U.S. Military Deployments and Public Opinion in Host States,10.1017/s0003055419000868,0.120438547345111
"Replication Data for: Does Political Affirmative Action Work, and for Whom? Theory and Evidence on India's Scheduled Areas",doi:10.7910/DVN/BOWEJG,"c(""Haas, Nicholas"", ""Gulzar, Saad"", ""Pasquale, Benjamin"")",American Political Science Review Dataverse,"Does Political Affirmative Action Work, and for Whom? Theory and Evidence on India s Scheduled Areas",10.1017/s0003055420000532,0.0268686868686869
Replication data for: Competing for Transparency: Political Competition and Institutional Reform in Mexican States,doi:10.7910/DVN/29347,"c(""Berliner, Daniel"", ""Erlich, Aaron"")",Daniel Berliner Dataverse,Competing for Transparency: Political Competition and Institutional Reform in Mexican States,10.1017/s0003055414000616,0
Elite Defection under Autocracy: Evidence from Russia,doi:10.7910/DVN/B1HHGV,"c(""Szakonyi, David"", ""Ora John Reuter"")",American Political Science Review Dataverse,Elite Defection under Autocracy: Evidence from Russia,10.1017/s0003055419000030,0
Ethnoracial Homogeneity and Public Outcomes: The (Non)effects of Diversity,doi:10.7910/DVN/AY32JZ,"c(""Kustov, Alexander"", ""Pardelli, Giuliana"")",American Political Science Review Dataverse,Ethnoracial Homogeneity and Public Outcomes: The (Non)effects of Diversity,10.1017/s0003055418000308,0
"Replication Data for: Diversity, Institutions, and Economic Outcomes: Post-WWII Displacement in Poland",doi:10.7910/DVN/AW6L1P,"Charnysh, Volha",American Political Science Review Dataverse,"Diversity, Institutions, and Economic Outcomes: Post-WWII Displacement in Poland",10.1017/s0003055419000042,0
Replication Data for: Democratization and the Conditional Dynamics of Income Distribution,doi:10.7910/DVN/D64FNB,"Dorsch, Michael",American Political Science Review Dataverse,Democratization and the Conditional Dynamics of Income Distribution,10.1017/s0003055418000825,0
Replication Data for: Political Secularism and Muslim Integration in the West: Assessing the Effects of the French Headscarf Ban,doi:10.7910/DVN/KSSFDI,Vasiliki Fouka,Harvard Dataverse,Political Secularism and Muslim Integration in the West: Assessing the Effects of the French Headscarf Ban,10.1017/s0003055420000106,0
Replication Data for: Spatial Voting Meets Spatial Policy Positions: An Experimental Appraisal,doi:10.7910/DVN/Z7P7RL,"c(""Artiga Gonzalez, Tanja"", ""Granic, Georg D."")",American Political Science Review Dataverse,Spatial Voting Meets Spatial Policy Positions: An Experimental Appraisal,10.1017/s0003055419000492,0
"Replication data for:  ""Economic versus Cultural Differences: Forms of Ethnic Diversity and Public Goods Provision.""",doi:10.7910/DVN/Z7RTOQ,"c(""Kate Baldwin"", ""John D. Huber"")",American Political Science Review Dataverse,Economic versus Cultural Differences: Forms of Ethnic Diversity and Public Goods Provision,10.1017/s0003055410000419,0.010752688172043
Replication Data for: Legacies of the Third Reich: Concentration Camps and Outgroup Intolerance,doi:10.7910/DVN/J0GBTX,"c(""Homola, Jonathan"", ""Pereira, Miguel M."", ""Tavits, Margit"")",American Political Science Review Dataverse,Legacies of the Third Reich: Concentration Camps and Out-group Intolerance,10.1017/s0003055419000832,0.00450450450450457
